
,FCFS,,,SJF,,,Priority,,,RR,,,MLQ,,,MLFQ,,,
,CPU Utilization 85.3395%,,,CPU Utilization 82.7844%,,,CPU Utilization 77.9972%,,,CPU Utilization 92.9412%,,,CPU Utilization 63.1279%,,,CPU Utilization 93.7288%,,,
,AvgWait,AvgTurnAround,AvgResponse,AvgWait,AvgTurnAround,AvgResponse,AvgWait,AvgTurnAround,AvgResponse,AvgWait,AvgTurnAround,AvgResponse,AvgWait,AvgTurnAround,AvgResponse,AvgWait,AvgTurnAround,AvgResponse,
P1,170,395,0,43,268,11,73,298,27,107,332,0,15,240,0,50,275,0,
P2,164,591,5,73,500,3,197,624,67,125,552,5,35,462,4,134,561,5,
P3,165,557,9,276,668,16,157,549,35,203,595,9,57,449,8,198,590,9,
P4,164,648,17,50,534,0,97,581,32,88,572,14,17,501,12,17,501,14,
P5,221,530,20,237,546,109,0,309,0,255,564,17,542,851,501,256,565,17,
P6,230,445,36,121,336,24,50,265,16,206,421,22,576,791,517,179,394,22,
P7,184,512,47,149,477,47,381,709,158,249,577,27,548,876,528,247,575,27,
P8,184,493,61,119,428,7,249,558,91,171,480,32,556,865,542,151,460,32,
AVG,185.250,521.375,24.375,133.500,469.625,27.125,150.500,486.625,53.250,175.500,511.625,15.750,293.250,629.375,264.000,154.000,490.125,15.750,
